name,city,district,address,location,price,description,fid
潮香四海·正宗潮汕风味(南山店),深圳市,南山区,广东省深圳市南山区四海,"113.922755,22.501452",¥92,"避风塘炒蟹                                ,
普宁炸豆腐                                ,
咸蛋焗围虾                                ,
五仁嫩豆腐                                ,
蚝仔烙                                ,
血蛤                                ,
炸果肉                                ,
秘制烧排                                ,
卤水拼盘                                ,
一颗芋头饭",13
桂小厨广西菜(欢乐海岸购物中心店),深圳市,南山区,广东省深圳市南山区桂小厨,"113.990624,22.525939",¥89,"螺蛳粉                                ,
石磨黑豆腐煲                                ,
柳州螺蛳鸭脚煲                                ,
红豆酸奶                                ,
招牌螺蛳粉                                ,
老友烤鱼                                ,
石墨黑豆腐煲                                ,
博白白切粉                                ,
巴马笋干焖香猪                                ,
螺蛳鸭掌煲                                ,
南宁友仔老友鱼                                ,
黑米酒                                ,
桂林山水小刀鸭                                ,
老友鱼块",14
蓉悦餐厅(益田假日广场店),深圳市,南山区,广东省深圳市南山区蓉悦餐厅,"113.975863,22.536833",¥120,"鸡丝凉面                                ,
芝士焗番薯                                ,
精品毛血旺                                ,
芝士焗红薯                                ,
芝麻脆皮鸡                                ,
纸包牛肉                                ,
水煮江团                                ,
腊肉有机花菜                                ,
蓉悦冷面鸡                                ,
经典冰粉                                ,
燕麦粒糍粑                                ,
解放酸辣粉",15
金谷1号海鲜酒楼,深圳市,福田区,广东省深圳市福田区海鲜酒楼,"114.021455,22.530332",¥103,"春卷                                ,
担担面                                ,
烧鹅                                ,
乳鸽                                ,
片皮鸭                                ,
红糖核桃包                                ,
芒果班戟卷                                ,
化皮腩肉                                ,
鱼汤蔬菜煲                                ,
虾饺皇                                ,
飘香榴莲酥                                ,
香片                                ,
家乡咸水角                                ,
排骨拼凤爪                                ,
芥末牛仔骨                                ,
特色沙姜猪手                                ,
红米炒饭                                ,
酱皇金钱肚                                ,
家乡甜薄餐                                ,
芒果薄撑                                ,
香芒绿茶薄餐",16
紫霞门韩国料理,深圳市,罗湖区,广东省深圳市罗湖区紫霞门韩国料理,"114.127300,22.544059",¥139,"烤牛排                                ,
石锅拌饭                                ,
泡菜饼                                ,
泡菜                                ,
烧烤                                ,
辣炒年糕                                ,
烤猪五花肉                                ,
三文鱼沙拉                                ,
烤猪王排骨                                ,
烤牛肋骨肉                                ,
大酱汤                                ,
炒年糕                                ,
石锅拌饭                                ,
大酱汤",17
美奈小馆-越南料理(COCO PARK),深圳市,南山区,广东省深圳市南山区美奈小馆,"113.923312,22.501161",¥101,"冬阴功汤                                ,
牛油果奶昔                                ,
千层糕                                ,
芒果海鲜炒饭                                ,
香浓咖喱牛腩                                ,
芒果牛油果软壳蟹                                ,
芒果牛油果软壳蟹纸卷                                ,
美奈香茅飞飞鱼                                ,
脱骨凤爪沙拉                                ,
飞飞鱼                                ,
蒜泥空心菜                                ,
越南炸春卷                                ,
薄荷青柠苏打                                ,
越南拼盘                                ,
香茅烤鸡肉捞檬粉                                ,
猪颈肉捞檬粉                                ,
生牛肉河粉                                ,
越南小吃拼盘                                ,
越南火车头汤河粉                                ,
西贡甘蔗虾                                ,
芒果鱼柳米纸卷                                ,
招牌菠萝海鲜炒饭                                ,
虾酱通心菜                                ,
小吃拼盘                                ,
越南春卷捞檬粉",18
79号渔船海鲜饭店(宝丰店),深圳市,罗湖区,广东省深圳市罗湖区宝丰店,"114.111861,22.541190",¥197,"盐焗花螺                                ,
碳烤龍蝦                                ,
元贝                                ,
芝士伊面龙虾                                ,
白灼大罗氏虾                                ,
烧烤波士顿龙虾                                ,
象拔蚌煲仔饭                                ,
烧汁五头鲍                                ,
椒盐皮皮虾                                ,
三叔烤罗氏虾",19
满庭芳川菜馆,深圳市,福田区,广东省深圳市福田区满庭芳川菜馆,"114.097604,22.537612",¥103,"手撕包菜                                ,
蟹粉豆腐                                ,
夫妻肺片                                ,
担担面                                ,
水煮鱼                                ,
蒜泥白肉                                ,
水煮牛肉                                ,
酸菜鱼                                ,
辣子鸡                                ,
葱油饼                                ,
烧白                                ,
霸王辣子鸡                                ,
干炞四季豆                                ,
木桶滚石牛肉                                ,
凉拌海蜇头                                ,
蟹黄豆腐                                ,
醪糟汤圆                                ,
三鲜锅巴                                ,
开水白菜                                ,
酸辣凉粉                                ,
木桶牛肉                                ,
糖藕                                ,
家乡烧白                                ,
干锅肥肠                                ,
凉拌皮蛋                                ,
毛血旺                                ,
哨子芙蓉蛋",20
海月百味馆(后海店),深圳市,南山区,广东省深圳市南山区海月百味馆,"113.932972,22.501585",¥135,"炭烤生蚝                                ,
原味花甲煲                                ,
清煲黄花鱼                                ,
蚝仔粉丝煲                                ,
人参农家水晶鸡                                ,
香煎农家土豆腐                                ,
沙姜炒鱿鱼                                ,
香煎小杂鱼                                ,
油盐焗海立鱼                                ,
白灼番薯叶",21
外婆家(KKMALL店),深圳市,罗湖区,广东省深圳市罗湖区kkmall店,"114.106661,22.544732",¥62,"茶香鸡                                ,
外婆红烧肉                                ,
西湖藕韵                                ,
蒜蓉粉丝虾                                ,
外婆烤肉                                ,
外婆鱼头                                ,
想吃花菜                                ,
外婆炖豆腐                                ,
糖醋里脊                                ,
酸菜鱼",22
